confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
78.0	386	1	3	2	1134	22401	0.6666666666666666
78.0	386	5	23	2	613	11171	0.08695652173913043
78.0	386	8	3	3	283	5588	1.0
78.0	388	1	55	4	3488	71357	0.07272727272727272
78.0	388	2	1	4	214	3664	4.0
78.0	388	12	45	4	2364	40159	0.08888888888888889
78.0	388	157	18	3	491	8076	0.16666666666666666
78.0	390	6	8	2	399	6155	0.25
78.0	391	1	4	4	213	3776	1.0
78.0	391	3	3	4	249	4133	1.3333333333333333
78.0	392	2	22	1	446	7890	0.045454545454545456
78.0	392	20	20	4	271	4414	0.2
78.0	393	1	3	1	959	17374	0.3333333333333333
78.0	393	20	4	4	257	5134	1.0
78.0	413	1	34	7	714	14072	0.20588235294117646
78.0	413	5	16	4	467	7832	0.25
78.0	413	11	15	57	364	7639	3.8
78.0	413	12	19	45	373	5760	2.3684210526315788
78.0	413	16	17	36	270	5042	2.1176470588235294
78.0	414	2	45	1	1072	20425	0.022222222222222223
78.0	414	3	6	2	1047	21233	0.3333333333333333
78.0	414	11	20	1	558	10562	0.05
78.0	414	15	23	64	447	8823	2.782608695652174
78.0	414	24	41	3	642	11955	0.07317073170731707
78.0	414	31	1	1	366	7807	1.0
78.0	415	2	33	1	1119	26270	0.030303030303030304
78.0	415	3	20	2	852	18004	0.1
78.0	415	6	1	2	565	10312	2.0
78.0	415	12	21	2	949	15716	0.09523809523809523
78.0	415	19	24	5	245	3417	0.20833333333333334
78.0	416	1	5	3	1067	22968	0.6
78.0	416	3	5	108	1032	28013	21.6
78.0	416	4	23	60	543	10276	2.608695652173913
78.0	416	6	1	5	1263	25173	5.0
78.0	416	9	17	3	625	12410	0.17647058823529413
78.0	417	1	25	3	1204	25973	0.12
